,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_noteUsers,GK_nbAvis,GK_noteGK,GK_licence,GK_dateTestGK,GK_distributeur,GK_developpeur,GK_frenchName,Name_alphanum,JV_Name,JV_plateforms,JV_reviews,JV_launch_year,JV_launch_date,JV_journalist_rate,JV_players_rates,JV_Name_alphanum
15131,L'Aigle de Guerre,GBA,2001.0,Strategy,Nintendo,0.0,0.0,0.1,0.0,0.1,5.5,2.0,5.0,,2001-04-09,,Nintendo,L'Aigle de Guerre,laigledeguerre,,,,,,,,
15132,Jeopardy!,N64,1998.0,Misc,GameTek,0.08,0.02,0.0,0.0,0.1,,,,Jeopardy ! ,,,Tiger Electronics,,jeopardy,,,,,,,,
15133,Disney's Donald Duck: Goin' Quackers,N64,2000.0,Platform,Ubisoft,0.08,0.02,0.0,0.0,0.1,,,,,,,,,disneysdonaldduckgoinquackers,,,,,,,,
15134,Aidyn Chronicles: The First Mage,N64,2001.0,Role-Playing,THQ,0.08,0.02,0.0,0.0,0.1,,,,,,,H2O Entertainment Corporation,,aidynchroniclesthefirstmage,,,,,,,,
15135,Aquapazza: Aquaplus Dream Match,PS3,2012.0,Fighting,Aqua Plus,0.05,0.0,0.05,0.01,0.1,6.7,6.0,,,,,Examu,,aquapazzaaquaplusdreammatch,,,,,,,,
15136,Virtual Pool 64,N64,1998.0,Sports,Crave Entertainment,0.08,0.02,0.0,0.0,0.1,,,,Virtual Pool ,,,Celeris,,virtualpool64,,,,,,,,
15137,Indy Racing 2000,N64,2000.0,Racing,Infogrames,0.08,0.02,0.0,0.0,0.1,,,,,,,Paradigm Entertainment Inc.,,indyracing2000,,,,,,,,
15138,Flying Dragon,N64,1997.0,Fighting,Natsume,0.08,0.02,0.0,0.0,0.1,,,,Hiryû no Ken ,,,Culture Brain,,flyingdragon,,,,,,,,
15139,International Superstar Soccer 64 (weekly JP sales),N64,1997.0,Sports,Konami Digital Entertainment,0.0,0.0,0.05,0.05,0.1,8.0,28.0,,International Superstar Soccer ,,,KCEO,,internationalsuperstarsoccer64weeklyjpsales,,,,,,,,
15140,Lode Runner 3-D,N64,1998.0,Action,Infogrames,0.08,0.02,0.0,0.0,0.1,,,,Lode Runner ,,,Big Bang Studios,,loderunner3d,,,,,,,,
15141,The History Channel: Civil War - Secret Missions,PS3,2008.0,Shooter,Activision,0.09,0.0,0.0,0.01,0.1,,,,The History Channel ,,,Cauldron,,thehistorychannelcivilwarsecretmissions,,,,,,,,
15142,GT64 Championship Edition,N64,1998.0,Racing,Ocean,0.08,0.02,0.0,0.0,0.1,4.5,2.0,,,,,Imagineer,,gt64championshipedition,,,,,,,,
15143,Milo's Astro Lanes,N64,1998.0,Sports,Interplay,0.08,0.02,0.0,0.0,0.1,,,,,,,Player 1,,milosastrolanes,,,,,,,,
15144,Gekido,PS,1999.0,Fighting,Infogrames,0.06,0.04,0.0,0.01,0.1,,,,Gekido ,,Atari,NAPS Team,,gekido,,,,,,,,
15145,Harry Potter and the Deathly Hallows - Part 1,PC,2010.0,Action,Electronic Arts,0.08,0.02,0.0,0.01,0.1,7.0,3.0,3,Harry Potter ,,,EA Bright Light Studio,,harrypotterandthedeathlyhallowspart1,,,,,,,,
15146,Fifi and the Flowertots,DS,2009.0,Misc,Avanquest,0.0,0.09,0.0,0.01,0.1,,,,,,,Uacari,,fifiandtheflowertots,,,,,,,,
15147,Disney's The Jungle Book,GBA,2002.0,Platform,Ubisoft,0.07,0.03,0.0,0.0,0.1,,,,,,,Digital Eclipse,,disneysthejunglebook,,,,,,,,
15148,King of Clubs: Mini Golf,Wii,2008.0,Sports,Oxygen Interactive,0.09,0.0,0.0,0.01,0.1,4.0,1.0,,,,,,King of Clubs,kingofclubsminigolf,,,,,,,,
15152,Ultimate Marvel vs. Capcom 3,PS3,2011.0,Fighting,Capcom,0.0,0.04,0.04,0.01,0.1,7.4,73.0,7.0,Marvel Vs Capcom,2011-11-21,,Capcom,Ultimate Marvel vs. Capcom 3,ultimatemarvelvscapcom3,Ultimate Marvel vs. Capcom 3,PS3,71 avis,2011,2011-11-01,8.5,8.3,ultimatemarvelvscapcom3
15153,Cate West: The Vanishing Files,DS,2008.0,Adventure,Oxygen Interactive,0.08,0.01,0.0,0.01,0.1,,,,,,Nobilis,,Cate West : Les affaires non classées,catewestthevanishingfiles,,,,,,,,
15154,Army Men World War: Team Assault,PS,2001.0,Action,3DO,0.06,0.04,0.0,0.01,0.1,,,,Army Men ,,,The 3DO Company,,armymenworldwarteamassault,,,,,,,,
15155,Tom Clancy's Splinter Cell,GBA,2003.0,Action,Ubisoft,0.07,0.03,0.0,0.0,0.1,8.0,190.0,9,,,,Ubisoft Montréal,,tomclancyssplintercell,,,,,,,,
15156,Harry Potter and the Deathly Hallows - Part 2,PC,2011.0,Action,Electronic Arts,0.05,0.04,0.0,0.01,0.1,,,3,Harry Potter ,,,EA Bright Light Studio,,harrypotterandthedeathlyhallowspart2,,,,,,,,
15158,NHL 2K6,X360,2005.0,Sports,Take-Two Interactive,0.09,0.0,0.0,0.01,0.1,9.0,1.0,7.0,NHL 2K,2006-03-23,Take Two Interactive,Kush Games,NHL 2K6,nhl2k6,NHL 2K6,X360,6 avis,2006,2006-03-01,8.0,8.25,nhl2k6
15159,Marvel vs. Capcom: Clash of Super Heroes,DC,1999.0,Fighting,Capcom,0.0,0.0,0.1,0.0,0.1,7.7,27.0,,,,,Capcom,,marvelvscapcomclashofsuperheroes,,,,,,,,
15160,NBA Ballers: Rebound,PSP,2006.0,Sports,Midway Games,0.09,0.0,0.0,0.01,0.1,,,7,NBA Ballers ,,,Midway Games,,nbaballersrebound,,,,,,,,
15161,King's Field: The Ancient City,PS2,2001.0,Role-Playing,Metro 3D,0.05,0.04,0.0,0.01,0.1,7.0,1.0,2,"""King's Field """,,Bigben Interactive,FromSoftware,,kingsfieldtheancientcity,,,,,,,,
15162,LEGO Rock Raiders,PS,1999.0,Strategy,LEGO Media,0.06,0.04,0.0,0.01,0.1,7.0,1.0,,LEGO ,,,Data Design,,legorockraiders,,,,,,,,
15163,Silent Scope Complete,XB,2004.0,Shooter,Konami Digital Entertainment,0.07,0.02,0.0,0.0,0.1,,,,Silent Scope ,,,Konami,,silentscopecomplete,,,,,,,,
15164,Digimon All-Star Rumble,PS3,2014.0,Fighting,Namco Bandai Games,0.06,0.03,0.0,0.02,0.1,4.0,1.0,,Digimon ,,,Prope,,digimonallstarrumble,,,,,,,,
15165,Ghost in the Shell,PS,1997.0,Simulation,Sony Computer Entertainment,0.06,0.04,0.0,0.01,0.1,6.5,4.0,4,Ghost in the Shell ,,Atari,Cavia,,ghostintheshell,,,,,,,,
15166,Atelier Sophie: The Alchemist of the Mysterious Book,PS4,2015.0,Role-Playing,Tecmo Koei,0.01,0.02,0.06,0.01,0.1,6.7,7.0,,Atelier ,,,Gust,,ateliersophiethealchemistofthemysteriousbook,Atelier Sophie : The Alchemist of the Mysterious Book,PS4,4 avis,2016,2016-06-01,6.0,7.5,ateliersophiethealchemistofthemysteriousbook
15167,Marvel Super Hero Squad: The Infinity Gauntlet,3DS,2011.0,Action,THQ,0.07,0.02,0.0,0.01,0.1,6.0,1.0,,,,,Griptonite Games,,marvelsuperherosquadtheinfinitygauntlet,,,,,,,,
15168,Evil Dead: Fistfull of Boomstick,XB,2003.0,Action,THQ,0.07,0.02,0.0,0.0,0.1,4.0,2.0,5,Evil Dead ,,,VIS Interactive,,evildeadfistfullofboomstick,,,,,,,,
15169,Tom Clancy's Classic Trilogy,XB,2004.0,Shooter,Ubisoft,0.07,0.02,0.0,0.0,0.1,,,,Tom Clancy ,,,Ubisoft,,tomclancysclassictrilogy,,,,,,,,
15170,Harvest Moon DS Cute (jp sales),DS,2005.0,Simulation,Marvelous Interactive,0.0,0.0,0.1,0.0,0.1,,,,,,,,,harvestmoondscutejpsales,,,,,,,,
15171,Bleach: Dark Souls (JP sales),DS,2007.0,Fighting,Sega,0.0,0.0,0.1,0.0,0.1,6.9,17.0,7,Bleach ,,,Treasure,,bleachdarksoulsjpsales,,,,,,,,
15172,Indigo Prophecy,XB,2005.0,Adventure,Atari,0.07,0.03,0.0,0.0,0.1,7.1,103.0,7,,,,Quantic Dream,,indigoprophecy,,,,,,,,
15173,NASCAR '14,PS3,2014.0,Racing,Deep Silver,0.09,0.0,0.0,0.01,0.1,3.0,1.0,,Nascar (Deep Silver) ,,Koch Media,Eutechnyx,,nascar14,NASCAR ’14,PS3,10 avis,2014,2014-05-01,6.5,0.0,nascar14
15174,Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,DS,2007.0,Misc,Benesse,0.0,0.0,0.1,0.0,0.1,,,,,,,,,kikukakukotobaofuyasuhajimetenoeigotraining,,,,,,,,
15175,Over the Hedge,XB,2006.0,Platform,Activision,0.07,0.02,0.0,0.0,0.1,,,,Nos Voisins,,Activision,Edge of Reality,,overthehedge,,,,,,,,
15176,Sneakers,XB,2002.0,Puzzle,Microsoft Game Studios,0.07,0.02,0.0,0.0,0.1,,,,,,,Media Vision,,sneakers,,,,,,,,
15177,Sword Art Online: Lost Song,PS3,2015.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,6.1,11.0,,Sword Art Online ,,,Artdink,,swordartonlinelostsong,,,,,,,,
15178,Crime Crackers,PS,1994.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.09,0.01,0.1,,,,Crime Crackers ,,,Media Vision,,crimecrackers,,,,,,,,
15179,Earth Defense Force 2025.1: The Shadow of New Despair,PS4,2015.0,Action,D3Publisher,0.0,0.0,0.1,0.0,0.1,6.8,5.0,,Force de Défense Terrestre ,,PQube,Sandlot,,earthdefenseforce20251theshadowofnewdespair,,,,,,,,
15182,Pro Evolution Soccer 2013,Wii,2012.0,Sports,Konami Digital Entertainment,0.0,0.03,0.06,0.0,0.1,6.1,13.0,7.0,eFootball (Pro Evolution Soccer),2012-09-17,,Konami,Pro Evolution Soccer 2013,proevolutionsoccer2013,Pro Evolution Soccer 2013,Wii,20 avis,2012,2012-09-01,7.5,0.0,proevolutionsoccer2013
15183,Micro Machines V3,PS,1997.0,Racing,Codemasters,0.06,0.04,0.0,0.01,0.1,7.6,27.0,,Micro Machines ,,,Novalicious,,micromachinesv3,,,,,,,,
15184,Alvin and the Chipmunks: Chipwrecked,Wii,2011.0,Misc,505 Games,0.08,0.01,0.0,0.01,0.1,,,,Alvin et les Chipmunks ,,,,Alvin et les Chipmunks 3,alvinandthechipmunkschipwrecked,,,,,,,,
15185,College Hoops 2K6,XB,2005.0,Sports,Take-Two Interactive,0.07,0.02,0.0,0.0,0.1,,,,College Hoops ,,,,College Hoops 2K6,collegehoops2k6,,,,,,,,
15186,"Sakura Wars 2: Kimi, Shinitamou koto Nakare",DC,2000.0,Adventure,Sega,0.0,0.0,0.1,0.0,0.1,8.4,10.0,,Sakura Taisen ,,,Sega,,sakurawars2kimishinitamoukotonakare,,,,,,,,
15187,NatGeo Challenge! Wild Life,PS3,2010.0,Misc,Black Bean Games,0.05,0.03,0.0,0.01,0.1,,,,National Geographic ,,Tradewest Games,,Nat Geo : Quiz ! Wild Life,natgeochallengewildlife,,,,,,,,
15188,Idol Janshi Suchie-Pai Remix,SAT,1995.0,Misc,Jaleco,0.0,0.0,0.1,0.0,0.1,,,,Idol Janshi Suchi-Pai ,,,,Idol Janshi Suchie-Pai Remix,idoljanshisuchiepairemix,,,,,,,,
15191,Kung Fu Panda 2,PS3,2011.0,Action,THQ,0.04,0.04,0.0,0.02,0.1,5.0,2.0,3.0,Kung Fu Panda,2011-06-17,,,Kung Fu Panda 2,kungfupanda2,Kung Fu Panda 2,PS3,13 avis,2011,2011-06-01,4.5,3.8,kungfupanda2
15192,Star Wars: Lethal Alliance,DS,2006.0,Action,Ubisoft,0.08,0.01,0.0,0.01,0.1,5.0,3.0,,Star Wars ,,,,Star Wars : Lethal Alliance,starwarslethalalliance,Star Wars : Lethal Alliance,DS,25 avis,2006,2006-12-01,6.5,5.75,starwarslethalalliance
15193,Exhibition Volume 03,XB,2003.0,Misc,Microsoft Game Studios,0.07,0.02,0.0,0.0,0.1,,,,,,,,,exhibitionvolume03,,,,,,,,
15194,Zero4 Champ RR-Z,SNES,1995.0,Racing,Media Rings,0.0,0.0,0.1,0.0,0.1,,,,Zero4 Champ ,,,,Zero4 Champ RR-Z,zero4champrrz,,,,,,,,
15195,Initial D: Street Stage,PSP,2006.0,Racing,Sega,0.0,0.0,0.1,0.0,0.1,7.7,3.0,,Initial D ,,,,Initial D : Street Stage,initialdstreetstage,,,,,,,,
15196,Tales of Innocence R,PSV,2012.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,6.0,2.0,6.0,Tales of,2008-01-08,,Alfa System,Tales of Innocence R,talesofinnocencer,,,,,,,,
15198,Generator Rex: Agent of Providence,3DS,2011.0,Action,Activision,0.07,0.02,0.0,0.01,0.1,,,,,,,,Generator Rex : Agent of Providence,generatorrexagentofprovidence,Generator Rex : Agent of Providence,3DS,2 avis,2011,2011-11-01,3.5,0.75,generatorrexagentofprovidence
15199,Petz Hamsterz Superstarz,DS,2009.0,Simulation,Ubisoft,0.09,0.0,0.0,0.01,0.1,,,,Petz ,,,Ubisoft Nagoya,,petzhamsterzsuperstarz,,,,,,,,
15201,NeverDead,X360,2012.0,Shooter,Konami Digital Entertainment,0.06,0.03,0.0,0.01,0.1,5.0,5.0,5.0,,2012-02-07,,Rebellion,NeverDead,neverdead,NeverDead,X360,21 avis,2012,2012-02-01,6.5,5.7,neverdead
15202,Happy Feet Two,X360,,Action,Warner Bros. Interactive Entertainment,0.08,0.01,0.0,0.01,0.1,3.0,1.0,,Happy Feet ,,,WayForward,,happyfeettwo,,,,,,,,
15204,Age of Empires II: The Age of Kings,PC,1999.0,Strategy,Microsoft Game Studios,0.01,0.08,0.0,0.02,0.1,7.9,99.0,6.666666666666667,Age of Empires,2006-11-17,,Ensemble Studios,Age of Empires II : The Age of Kings,ageofempiresiitheageofkings,Age of Empires II : The Age of Kings,PC,547 avis,1999,1999-09-01,8.5,9.0,ageofempiresiitheageofkings
15206,Age of Empires II: The Age of Kings,PC,1999.0,Strategy,Microsoft Game Studios,0.01,0.08,0.0,0.02,0.1,7.9,99.0,6.666666666666667,Age of Empires,2006-11-17,,Ensemble Studios,Age of Empires II: The Age of Kings,ageofempiresiitheageofkings,Age of Empires II : The Age of Kings,PC,547 avis,1999,1999-09-01,8.5,9.0,ageofempiresiitheageofkings
15207,"Warhammer 40,000: Dawn of War II - Chaos Rising",PC,2010.0,Strategy,THQ,0.08,0.01,0.0,0.01,0.1,7.5,44.0,8,,,,Relic Entertainment,,warhammer40000dawnofwariichaosrising,,,,,,,,
15208,Predator: Concrete Jungle,XB,2005.0,Action,Vivendi Games,0.07,0.02,0.0,0.0,0.1,6.5,4.0,,Predator ,,,Eurocom,,predatorconcretejungle,,,,,,,,
15209,CSI: Hard Evidence,X360,2007.0,Adventure,Ubisoft,0.07,0.02,0.0,0.01,0.1,,,,Les Experts ,,Ubisoft,Telltale Games,Les Experts : Morts Programmées,csihardevidence,,,,,,,,
15210,F1 2014,PC,2014.0,Racing,Codemasters,0.0,0.09,0.0,0.01,0.1,6.0,3.0,,F1 (Codemasters) ,,,Codemasters,,f12014,F1 2014,PC,24 avis,2014,2014-10-01,7.0,6.0,f12014
15211,Code Lyoko: Quest for Infinity,Wii,2007.0,Action,Game Factory,0.07,0.02,0.0,0.01,0.1,6.0,1.0,4,Code Lyoko ,,Koch Media,Neko,,codelyokoquestforinfinity,,,,,,,,
15212,Fate/hollow ataraxia,PSV,2014.0,Adventure,Type-Moon,0.0,0.0,0.1,0.0,0.1,7.0,1.0,,Fate/stay night ,,,,Fate/hollow ataraxia,fatehollowataraxia,,,,,,,,
15213,Lucky * Star: Ryouou Gakuen Outousai,PS2,2008.0,Adventure,Kadokawa Shoten,0.0,0.0,0.1,0.0,0.1,5.0,1.0,,Lucky Star ,,,,Lucky Star,luckystarryouougakuenoutousai,,,,,,,,
15214,Scribblenauts Unmasked: A DC Comics Adventure,3DS,2013.0,Puzzle,Warner Bros. Interactive Entertainment,0.09,0.0,0.0,0.01,0.1,5.5,2.0,,Scribblenauts ,,,5th Cell,,scribblenautsunmaskedadccomicsadventure,,,,,,,,
15215,Murder in Venice,DS,2011.0,Adventure,City Interactive,0.06,0.03,0.0,0.01,0.1,,,,Meurtres à ,,,Cobra Soft,,murderinvenice,,,,,,,,
15216,Nancy Drew: The Model Mysteries,DS,2010.0,Puzzle,THQ,0.09,0.0,0.0,0.01,0.1,3.0,1.0,5,,,Micro Application,Her Interactive,,nancydrewthemodelmysteries,,,,,,,,
15217,Ride,XOne,2015.0,Racing,Milestone S.r.l.,0.04,0.05,0.0,0.01,0.1,0.0,0.0,5.0,RIDE,2015-04-06,,Milestone,Ride,ride,Ride,XOne,6 avis,2015,2015-03-01,6.5,6.25,ride
15218,Naruto Shippuden: Gekito Ninja Taisen! EX,Wii,2007.0,Fighting,Takara Tomy,0.0,0.0,0.1,0.0,0.1,5.5,2.0,,Naruto ,,Takara Tomy,8ing,,narutoshippudengekitoninjataisenex,,,,,,,,
15219,Universal Studios Theme Parks Adventure,GC,2001.0,Misc,Kemco,0.08,0.02,0.0,0.0,0.1,,,,,,,,,universalstudiosthemeparksadventure,,,,,,,,
15220,Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS,DS,2009.0,Misc,Nintendo,0.0,0.0,0.1,0.0,0.1,,,,,,,,,nihonkeizaishinbunshakanshuushiranaimamadewasonosurumonoyaokanenoshikumids,,,,,,,,
15221,Little League World Series Baseball 2010,X360,2010.0,Sports,Activision,0.09,0.0,0.0,0.01,0.1,,,,Little League Baseball ,,,,Little League World Series Baseball 2010,littleleagueworldseriesbaseball2010,,,,,,,,
15222,Piglet's Big Game,PS2,2003.0,Platform,Gotham Games,0.05,0.04,0.0,0.01,0.1,,,,"""Winnie l'ourson """,,Take Two Interactive,Doki Denki Studio,,pigletsbiggame,,,,,,,,
15223,Real Bout Garou Densetsu,SAT,1996.0,Fighting,SNK,0.0,0.0,0.1,0.0,0.1,7.0,1.0,,Fatal Fury ,,,SNK,,realboutgaroudensetsu,,,,,,,,
15224,Arcania: Gothic 4,X360,2010.0,Role-Playing,JoWood Productions,0.03,0.04,0.01,0.01,0.1,5.1,8.0,5,Gothic ,,,Spellbound Entertainment AG,,arcaniagothic4,,,,,,,,
15225,Ben 10 Galactic Racing,X360,2011.0,Racing,D3Publisher,0.07,0.02,0.0,0.01,0.1,,,,Ben 10 ,,,Monkey Bar Games,,ben10galacticracing,,,,,,,,
15226,Project FIFA World Cup,PS2,2002.0,Sports,Electronic Arts,0.0,0.0,0.1,0.0,0.1,,,5,,,,,,projectfifaworldcup,,,,,,,,
15227,System Flaw,DS,2009.0,Shooter,Enjoy Gaming ltd.,0.09,0.0,0.0,0.01,0.1,,,,System Flaw ,,,,System Flaw,systemflaw,,,,,,,,
15229,Rio,X360,2011.0,Misc,THQ,0.05,0.03,0.0,0.01,0.1,0.0,0.0,3.0,Rio,2011-04-15,,Eurocom,Rio,rio,Rio,X360,6 avis,2011,2011-04-01,3.5,5.3,rio
15230,Rocky: Legends,XB,2004.0,Action,Ubisoft,0.07,0.02,0.0,0.0,0.1,7.0,1.0,,Rocky ,,,Venom Games,,rockylegends,,,,,,,,
15231,Lord of Apocalypse,PSP,2011.0,Role-Playing,Square Enix,0.0,0.0,0.1,0.0,0.1,,,,,,,Access Games,,lordofapocalypse,,,,,,,,
15232,The BIGS 2,PSP,2009.0,Sports,Take-Two Interactive,0.09,0.0,0.0,0.01,0.1,8.0,1.0,,The BIGS ,,,Capcom Vancouver,,thebigs2,,,,,,,,
15233,Horse Life Adventures,DS,2008.0,Simulation,Deep Silver,0.08,0.01,0.0,0.01,0.1,,,5,Horse Life ,,Koch Media,Yullaby,,horselifeadventures,,,,,,,,
15234,iCarly 2: iJoin The Click!,Wii,2010.0,Adventure,Activision,0.08,0.01,0.0,0.01,0.1,,,,iCarly ,,,Big Blue Bubble,,icarly2ijointheclick,,,,,,,,
15235,Burnout Paradise: The Ultimate Box,PC,2009.0,Racing,Electronic Arts,0.0,0.08,0.0,0.01,0.1,7.3,78.0,7.0,Burnout,2009-02-06,Electronic Arts,Criterion Games,Burnout Paradise : The Ultimate Box,burnoutparadisetheultimatebox,,,,,,,,
15236,Burnout Paradise: The Ultimate Box,PC,2009.0,Racing,Electronic Arts,0.0,0.08,0.0,0.01,0.1,7.3,78.0,7.0,Burnout,2009-02-06,Electronic Arts,Criterion Games,Burnout Paradise: The Ultimate Box,burnoutparadisetheultimatebox,,,,,,,,
15237,Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,GBA,2004.0,Adventure,Nintendo,0.0,0.0,0.1,0.0,0.1,,,,,,,Nintendo,,famicomminifamicomtanteiclubpartiiushironitatsushoujozenkouhen,,,,,,,,
15238,The Secret Saturdays: Beasts of the 5th Sun,Wii,2009.0,Action,D3Publisher,0.09,0.0,0.0,0.01,0.1,,,,,,,High Voltage Software,,thesecretsaturdaysbeastsofthe5thsun,,,,,,,,
15239,Winter Stars,X360,2011.0,Sports,Deep Silver,0.05,0.04,0.0,0.01,0.1,6.0,1.0,,Stars (49Games) ,,Koch Media,49Games,,winterstars,Winter Stars,X360,0 avis,2011,2011-11-01,5.0,0.0,winterstars
15240,Higurashi no Nakukoru ni Kizuna: Dai-Ni-Kan - Sou,DS,2008.0,Adventure,Alchemist,0.0,0.0,0.1,0.0,0.1,,,,When they Cry ,,,Alchemist,,higurashinonakukorunikizunadainikansou,,,,,,,,
15241,Star Trek: Shattered Universe,PS2,2004.0,Simulation,Global Star,0.05,0.04,0.0,0.01,0.1,,,,Star Trek ,,,Starsphere Interactive,,startrekshattereduniverse,Star Trek : Shattered Universe,PS2,3 avis,2004,2004-04-01,3.5,7.35,startrekshattereduniverse
15242,The Land Before Time: Great Valley Racing Adventure,PS,2001.0,Racing,TDK Mediactive,0.05,0.04,0.0,0.01,0.1,,,,,,,,,thelandbeforetimegreatvalleyracingadventure,,,,,,,,
15244,Ultra Street Fighter IV,PS4,2015.0,Fighting,Capcom,0.0,0.08,0.0,0.01,0.1,7.8,52.0,5.5,Street Fighter,2015-05-29,,,Ultra Street Fighter IV,ultrastreetfighteriv,Ultra Street Fighter IV,PS4,18 avis,2014,2014-06-01,8.5,2.05,ultrastreetfighteriv
15245,Animal Planet: Vet Life,Wii,2009.0,Simulation,Activision,0.09,0.0,0.0,0.01,0.1,,,,Animal Planet ,,,Big Blue Bubble,,animalplanetvetlife,,,,,,,,
15246,Cubic Ninja,3DS,2011.0,Platform,Ubisoft,0.05,0.04,0.0,0.01,0.1,4.0,1.0,4.0,,2011-06-24,,AQ Interactive,Cubic Ninja,cubicninja,,,,,,,,
15247,Championship Pony,DS,2008.0,Simulation,"Destination Software, Inc",0.09,0.0,0.0,0.01,0.1,,,,Horse Life ,,,Game Life,,championshippony,,,,,,,,
15248,Harvest Moon: Frantic Farming,DS,2009.0,Puzzle,Rising Star Games,0.08,0.01,0.0,0.01,0.1,,,,Harvest Moon ,,,,Harvest Moon : Frantic Farming,harvestmoonfranticfarming,,,,,,,,
15251,Rise of the Tomb Raider,PC,2016.0,Adventure,Square Enix,0.0,0.09,0.0,0.01,0.1,7.1,209.0,6.0,Tomb Raider,2016-01-29,,Crystal Dynamics,Rise of the Tomb Raider,riseofthetombraider,Rise of the Tomb Raider,PC,128 avis,2015,2015-11-01,9.0,7.55,riseofthetombraider
15252,Pinball Hall of Fame: The Williams Collection,3DS,2011.0,Misc,Crave Entertainment,0.09,0.0,0.0,0.01,0.1,6.6,5.0,,,,Koch Media,FarSight Studios,,pinballhalloffamethewilliamscollection,,,,,,,,
15253,Persona 5,PS3,2016.0,Role-Playing,Unknown,0.0,0.0,0.1,0.0,0.1,8.6,166.0,9.0,Megami Tensei,2016-10-26,,Atlus,Persona 5,persona5,Persona 5,PS3,44 avis,2017,2017-04-01,8.5,9.0,persona5
15254,Power Stone Collection,PSP,2006.0,Action,Capcom,0.08,0.0,0.0,0.01,0.1,8.3,4.0,6.0,Power Stone,2006-10-19,,Capcom,Power Stone Collection,powerstonecollection,,,,,,,,
15255,MTX Mototrax,XB,2004.0,Racing,Activision,0.07,0.02,0.0,0.0,0.1,9.0,1.0,6,,,,,MTX : Mototrax,mtxmototrax,,,,,,,,
15256,Blast Chamber,PS,1996.0,Shooter,Activision,0.05,0.04,0.0,0.01,0.1,9.0,1.0,,,,,Attention To Detail,,blastchamber,,,,,,,,
15257,Thor: God of Thunder,3DS,2011.0,Action,Sega,0.06,0.03,0.0,0.01,0.1,4.2,5.0,2,Marvel ,,,Liquid Entertainment,,thorgodofthunder,,,,,,,,
15258,Mana Khemia: Student Alliance,PSP,2008.0,Role-Playing,Nippon Ichi Software,0.05,0.0,0.03,0.01,0.1,7.0,18.0,,,,Digital Bros.,,Mana Khemia : Alchemists of Al-Revis,manakhemiastudentalliance,,,,,,,,
15259,Retro Game Challenge (US sales),DS,2007.0,Action,Namco Bandai Games,0.1,0.0,0.0,0.0,0.1,7.2,6.0,,Retro Game Challenge ,,,Indies 0,,retrogamechallengeussales,,,,,,,,
15260,EyeToy: Operation Spy,PS2,2005.0,Action,Sony Computer Entertainment,0.05,0.04,0.0,0.01,0.1,,,,EyeToy ,,,Harmonix Music Systems,,eyetoyoperationspy,,,,,,,,
15261,Zoo Tycoon (2013),X360,2013.0,Simulation,Microsoft Game Studios,0.02,0.07,0.0,0.01,0.1,5.5,11.0,6,Zoo Tycoon ,,,Frontier Developments,,zootycoon2013,,,,,,,,
15262,MotoGP 07,PS2,2007.0,Racing,Capcom,0.05,0.04,0.0,0.01,0.1,0.0,0.0,5.0,MotoGP,2007-11-13,Nobilis,Milestone,MotoGP 07,motogp07,,,,,,,,
15263,Touch Detective,DS,2006.0,Adventure,505 Games,0.06,0.03,0.0,0.01,0.1,,,,Mystery Detective ,,,BeeWorks,,touchdetective,Touch Detective,DS,31 avis,2007,2007-05-01,6.0,7.5,touchdetective
15264,Option Tuning Car Battle,PS,1998.0,Racing,MTO,0.0,0.0,0.09,0.01,0.1,,,,Option Tuning Car Battle ,,,MTO,,optiontuningcarbattle,,,,,,,,
15265,Rapala Pro Bass Fishing 2010,DS,2010.0,Sports,Activision,0.09,0.0,0.0,0.01,0.1,7.0,1.0,,Rapala ,,,Fun Labs,,rapalaprobassfishing2010,,,,,,,,
15266,Derby Jockey 2,SNES,1995.0,Sports,Asmik Corp,0.0,0.0,0.1,0.0,0.1,,,5,Horse Racing Manager ,,Micro Application,Cyanide Studio,,derbyjockey2,,,,,,,,
15267,Famicom Mini: Mappy,GBA,2004.0,Platform,Nintendo,0.0,0.0,0.09,0.0,0.1,6.5,2.0,,,,,,Mappy,famicomminimappy,,,,,,,,
15268,Reign of Fire,XB,2002.0,Shooter,BAM! Entertainment,0.07,0.02,0.0,0.0,0.1,2.5,2.0,3,,,Nobilis,Kuju Entertainment,,reignoffire,,,,,,,,
15269,Descent Maximum,PS,1997.0,Shooter,Interplay Productions,0.05,0.04,0.0,0.01,0.1,7.0,6.0,,Descent ,,Interplay Entertainment,Parallax Software,,descentmaximum,,,,,,,,
15270,Disney Sing It! High School Musical 3: Senior Year,X360,2009.0,Misc,Disney Interactive Studios,0.09,0.0,0.0,0.01,0.1,,,4,,,,Zoë Mode,,disneysingithighschoolmusical3senioryear,,,,,,,,
